name, address, start, end, contractor, union_type
100 ARLINGTON STREET,100 ARLINGTON STREET,20120701,20140701,"MORIARTY, JOHN & ASSOCIATES",Union
120 KINGSTON STREET,120 KINGSTON ST.,20120515,20140515,SUFFOLK CONSTRUCTION COMPANY,Union
1282 BOYLSTON STREET,,20130707,20150801,SUFFOLK CONSTRUCTION COMPANY,Union
275 ALBANY STREET,275 ALBANY STREET,20131101,20150430,SUFFOLK CONSTRUCTION COMPANY,Union
319 A STREET REAR,319 A STREET,20120401,20140430,SUFFOLK CONSTRUCTION COMPANY,Union
375 MARKET STREET,375 MARKET STREET,20120701,20131230,METRIC CONSTRUCTION CORPORATION,Open Shop
401 WEST FIRST/AKA C. WHARF,401 WEST FIRST STREET,20121115,20151215,G.A.DONOVAN MANAGEMENT CONSULTING CORP.,Open Shop
411 D STREET,411 D STREET,20121101,20140530,"MORIARTY, JOHN & ASSOCIATES",Union
49 MELCHER STREET,49 MELCHER STREET,20130501,20131213,BRS BUILDING RESTORATION SERVICES CORP.,Open Shop
160 MASS AVE. AKA BERKLEE,160 MASSACHUSETTS AVE.,20111125,20131231,LEE KENNEDY CO INC,Union
BRIGHTON LAND. STH PKING GR,15 GUEST STREET,20130801,20140831,"MORIARTY, JOHN & ASSOCIATES",Union
BIOLER REPLMENT@12 CHANNEL,12 CHANNEL STREET,20130801,20131130,"ENTERPRISE EQUIPMENT COMPANY, INC.",Prevailing Wage
CHILDRENS HOSPITAL MAIN BLD,57 BINNEY STREET,20101001,20131130,"WALSH BROTHERS, INC.",Union
C L J NEW SANCTUARY,18-24 REED STREET,20100501,20131230,"WHITAKER, A. P. & SONS",Non Union
CNY PIER4 FENDER SYSTEMS RP,CNY,20130722,20131231,RDA CONSTRUCTION CORPORATION,Prevailing Wage
PARC AENVOY HTL AKASSQUAREH,66 SLEEPER STREET,20131001,20150430,LEE KENNEDY CO INC,Union
E STREET SELF STORAGE,380-400 E STREET,20121101,20131130,CONROY DEVELOPMENT,Union
EX TUN MCARTHUR HALL LOBBY,20 SOLDIERS FILED ROAD,20121101,20131130,SKANSKA USA,Union
GENZYME FACILITY&EQ UPGRADE,70 WESTERN AVE.,20110912,20161231,TURNER CONSTRUCTION COMPANY,Union
GRANDMARC AT NORTHEASTERN,316-320 Huntington Ave.,20120715,20140901,SUFFOLK CONSTRUCTION COMPANY,Union
HARVARD COMMONS PHASE 2 & 3,507 HARVARD ST.,20060101,20140210,CRUZ CONSTRUCTION COMPANY,Non Union
INK BLOCK,300 HARRISON AVE.,20130301,20150228,CRANSHAW CONSTRUCTION,Union
KENSINGTON TOWER,659 WASHINGTON STREET,20111001,20131130,SUFFOLK CONSTRUCTION COMPANY,Union
NEW MARKET INFRA 5052C - #1,New Market Industrial Disrict,20121212,20131220,FED. CORP,Prevailing Wage
NEW PARK GARAGE PHASE #2,10 CHANNEL CENTER/A STREET,20131001,20141031,GILBANE BUILDING COMPANY,Union
NEW PRK. & CH. CENT. GARAGE,10 CHANNEL CENTER/A STREET,20120718,20140415,SUFFOLK CONSTRUCTION COMPANY,Union
ONE CANAL STREET,100 New Chardon St.,20130901,20150901,"MORIARTY, JOHN & ASSOCIATES",Union
PIER4 RESIDENTIAL RENTAL TW,NORTHERN AVE.,20121219,20150330,"MORIARTY, JOHN & ASSOCIATES",Union
PORTSIDE @ PIER 1,50 LEWIS STREET,20121101,20140530,CRANSHAW CONSTRUCTION,Union
ROADWAY IMP @ MIP - 1286B,MIP,20130401,20140430,NEWPORT CONSTRUCTION CORPORATION,Prevailing Wage
ROX. TNT. HVRD-AKAMHILL121A,20 VINING STREET,20130201,20140430,NEI GENERAL CONTRACTING,Non Union
TATA HALL @ HARVARD UNV.,20 SOLDIERS FILED ROAD,20111101,20131130,BOND BROTHERS,Union
THE ICON AKA 75 BRAINERD ST,,20130801,20140831,CRANSHAW CONSTRUCTION,Open Shop
WENTWORTH STUDENT APTS.,525 HUNTINGTON AVE.,20130315,20140715,BOND BROTHERS,Union
WEST SQUARE,320 D ST.,20120401,20140430,"MORIARTY, JOHN & ASSOCIATES",Union
WATERSIDE PLACE,505 Congress Street,20120615,20140801,SUFFOLK CONSTRUCTION COMPANY,Union
