id,opened,closed,status,reason,type,location,neighborhood,zip,latitude,longitude
1.01E+11,10/21/13 21:41,,Open,General Request,General Request,71 Windsor St  Mission Hill  MA  02120,Roxbury,2120,42.33532,-71.08434
1.01E+11,10/21/13 18:49,,Open,General Request,General Request,201 Shirley St  Roxbury  MA  02119,Roxbury,2119,42.326383,-71.066979
1.01E+11,10/21/13 15:25,,Open,General Request,General Request,140 Warren St  Roxbury  MA  02119,Roxbury,2119,42.32579,-71.08314
1.01E+11,10/21/13 14:01,,Open,General Request,General Request,INTERSECTION of Roxbury St & John Eliot Sq  Roxbury  MA  ,Roxbury,,42.296592,-71.11241
1.01E+11,10/21/13 13:41,,Open,General Request,General Request,625 Columbus Ave  Roxbury  MA  02118,Roxbury,2118,42.33963,-71.08329
1.01E+11,10/21/13 10:33,,Open,General Request,General Request,128 Shirley St  Roxbury  MA  02119,Roxbury,2119,42.32547,-71.06878
1.01E+11,10/21/13 7:15,,Open,General Request,General Request,613 Columbus Ave  Roxbury  MA  02118,Roxbury,2118,42.33996,-71.08288
1.01E+11,10/20/13 18:16,,Open,General Request,General Request,225 Northampton St  Roxbury  MA  02118,Roxbury,2118,42.33844,-71.08035
1.01E+11,10/20/13 18:11,10/21/13 14:32,Closed,General Request,General Request,497 Warren St  Dorchester  MA  02121,Roxbury,2121,42.31446,-71.08396
1.01E+11,10/18/13 17:33,,Open,General Request,General Request,136 Northampton St  Roxbury  MA  02118,Roxbury,2118,42.33617,-71.07809
1.01E+11,10/18/13 17:31,,Open,Highway Maintenance,Sidewalk Repair (Make Safe),1815 Washington St  Roxbury  MA  02118,Roxbury,2118,42.33591,-71.07815
1.01E+11,10/18/13 17:30,,Open,General Request,General Request,1833 Washington St  Roxbury  MA  02118,Roxbury,2118,42.33553,-71.07862
1.01E+11,10/18/13 17:29,,Open,Graffiti,Graffiti Removal,1855 Washington St  Roxbury  MA  02118,Roxbury,2118,42.335456,-71.078698
1.01E+11,10/18/13 17:28,,Open,Graffiti,Graffiti Removal,INTERSECTION of Washington St & Lenox St  Roxbury  MA  ,Roxbury,,42.363289,-71.050254
1.01E+11,10/18/13 17:25,,Open,Graffiti,Graffiti Removal,INTERSECTION of Ball St & Washington St  Roxbury  MA  ,Roxbury,,42.28563,-71.05468
1.01E+11,10/18/13 17:13,,Open,General Request,General Request,INTERSECTION of Eustis St & Williams St  Roxbury  MA  ,Roxbury,,42.29272,-71.13601
